gbifID,occurrenceID,catalogNumber,specimen_code,view,genusKey,genus,subfamily,species,scientificName,verbatimScientificName,taxonRank,sex,caste,typeStatus,stateProvince,locality,decimalLatitude,decimalLongitude,elevation,eventDate,recordedBy,identifiedBy,image_url,image_title,creator,license,rightsHolder,issues,genus_gbif,shot_index,image_path,image_source,split
865074036,CAS:ANTWEB:casent0000550,casent0000550,casent0000550,p,1326355,Mystrium,amblyoponinae,Mystrium mysticum,"Mystrium mysticum Roger, 1862",,SPECIES,,worker,,Mahajanga,"Parc National Tsingy de Bemaraha, 10.6 km ESE 123° Antsalova",-18.70944,44.71817,150.0,2001-11-16/2001-11-20,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,Masashi Yoshimura,https://www.antweb.org/images/casent0000550/casent0000550_p_1_high.jpg,casent0000550 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Mystrium,1,data/images/Mystrium/casent0000550_p.jpg,commons,train
865074142,CAS:ANTWEB:casent0000760,casent0000760,casent0000760,p,1326355,Mystrium,amblyoponinae,Mystrium mysticum,"Mystrium mysticum Roger, 1862",,SPECIES,,worker,,Mahajanga,"Parc National Tsingy de Bemaraha, 10.6 km ESE 123° Antsalova",-18.70944,44.71817,150.0,2001-11-16/2001-11-20,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,Masashi Yoshimura,https://www.antweb.org/images/casent0000760/casent0000760_p_1_high.jpg,casent0000760 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Mystrium,1,data/images/Mystrium/casent0000760_p.jpg,commons,train
865074627,CAS:ANTWEB:casent0001385,casent0001385,casent0001385,p,1315863,Aphaenogaster,myrmicinae,Aphaenogaster swammerdami,"Aphaenogaster swammerdami Forel, 1886",,SPECIES,,worker,,Toliara,"Parc National d'Andohahela, Forêt d'Ambohibory, 1.7 km 61° ENE Tsimelahy, 36.1 km 308° NW Tolagnaro",-24.93,46.6455,300.0,2002-01-16/2002-01-20,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,,https://www.antweb.org/images/casent0001385/casent0001385_p_1_high.jpg,casent0001385 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Aphaenogaster,1,data/images/Aphaenogaster/casent0001385_p.jpg,commons,train
865074816,CAS:ANTWEB:casent0002102,casent0002102,casent0002102,p,1326355,Mystrium,amblyoponinae,Mystrium voeltzkowi,"Mystrium voeltzkowi Forel, 1897",,SPECIES,,worker,,Antsiranana,"Réserve Spéciale d'Ambre, 3.5 km 235° SW Sakaramy",-12.46889,49.24217,325.0,2001-01-26/2001-01-31,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,Masashi Yoshimura,https://www.antweb.org/images/casent0002102/casent0002102_p_1_high.jpg,casent0002102 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_HIGHERRANK;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Mystrium,1,data/images/Mystrium/casent0002102_p.jpg,commons,train
865074924,CAS:ANTWEB:casent0002219,casent0002219,casent0002219,p,7748512,Royidris,myrmicinae,Royidris notorthotenes,"Royidris notorthotenes (Heterick) Heterick, 2014",,SPECIES,,worker,,Toliara,"Réserve Spéciale de Cap Sainte Marie, 14.9 km 261° W Marovato",-25.59444,45.14683,160.0,2002-02-13/2002-02-19,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,Barry Bolton,https://www.antweb.org/images/casent0002219/casent0002219_p_1_high.jpg,casent0002219 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2008",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Royidris,1,data/images/Royidris/casent0002219_p.jpg,commons,test
865074919,CAS:ANTWEB:casent0002244,casent0002244,casent0002244,p,7748512,Royidris,myrmicinae,Royidris notorthotenes,"Royidris notorthotenes (Heterick) Heterick, 2014",,SPECIES,,worker,,Toliara,4.4 km 148° SSE Lavanono,-25.45056,44.97417,60.0,2002-02-17,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,Barry Bolton,https://www.antweb.org/images/casent0002244/casent0002244_p_1_high.jpg,casent0002244 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2008",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Royidris,1,data/images/Royidris/casent0002244_p.jpg,commons,train
865074972,CAS:ANTWEB:casent0002257,casent0002257,casent0002257,p,7748512,Royidris,myrmicinae,Royidris notorthotenes,"Royidris notorthotenes (Heterick) Heterick, 2014",,SPECIES,,worker,Holotype,Toliara,"Réserve Spéciale de Cap Sainte Marie, 14.9 km 261° W Marovato",-25.59444,45.14683,160.0,2002-02-13/2002-02-19,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,Barry Bolton,https://www.antweb.org/images/casent0002257/casent0002257_p_1_high.jpg,casent0002257 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2008",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Royidris,1,data/images/Royidris/casent0002257_p.jpg,commons,train
865074977,CAS:ANTWEB:casent0002259,casent0002259,casent0002259,p,7748512,Royidris,myrmicinae,Royidris notorthotenes,"Royidris notorthotenes (Heterick) Heterick, 2014",,SPECIES,,worker,,Toliara,4.4 km 148° SSE Lavanono,-25.45056,44.97417,60.0,2002-02-17,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,Barry Bolton,https://www.antweb.org/images/casent0002259/casent0002259_p_1_high.jpg,casent0002259 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Royidris,1,data/images/Royidris/casent0002259_p.jpg,commons,train
865075121,CAS:ANTWEB:casent0002552,casent0002552,casent0002552,p,1317363,Terataner,myrmicinae,Terataner xaltus,"Terataner xaltus Bolton, 1981",,SPECIES,,worker,,Toliara,"Forêt de Mite, 20.7 km 29° WNW Tongobory",-23.52417,44.12133,75.0,2002-02-27/2002-03-03,Brian L. Fisher|Charles E. Griswold|Malagasy Arthropod Team,,https://www.antweb.org/images/casent0002552/casent0002552_p_1_high.jpg,casent0002552 profile view 1,Erin Prado,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2008",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Terataner,1,data/images/Terataner/casent0002552_p.jpg,commons,test
865075291,CAS:ANTWEB:casent0003120,casent0003120,casent0003120,p,7731605,Nesomyrmex,myrmicinae,Nesomyrmex sikorai,Nesomyrmex sikorai,,SPECIES,,worker,,Fianarantsoa,"29 km SSW Ambositra, Ankazomivady",-20.77667,47.165,1700.0,1998-01-14,Brian L. Fisher,Sandor Csosz,https://www.antweb.org/images/casent0003120/casent0003120_p_1_high.jpg,casent0003120 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2008",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Nesomyrmex,1,data/images/Nesomyrmex/casent0003120_p.jpg,commons,test
865075308,CAS:ANTWEB:casent0003175,casent0003175,casent0003175,p,1320039,Technomyrmex,dolichoderinae,Technomyrmex difficilis,"Technomyrmex difficilis Forel, 1892",,SPECIES,,worker,,Antsiranana,"R.S. Manongarivo, 10.8 km 229° SW Antanambao",-13.96167,48.43333,400.0,1998-11-08,Brian L. Fisher,Barry Bolton,https://www.antweb.org/images/casent0003175/casent0003175_p_1_high.jpg,casent0003175 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2008",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Technomyrmex,1,data/images/Technomyrmex/casent0003175_p.jpg,commons,train
865075406,CAS:ANTWEB:casent0003239,casent0003239,casent0003239,p,1320203,Strumigenys,myrmicinae,Strumigenys alperti,Strumigenys alperti Fisher,,SPECIES,,worker,Holotype,Antsiranana,"17km W Andapa, Res. d' Anjanaharibe-Sud",-14.75775,49.51019,875.0,1994-11-02,Gary D. Alpert,,https://www.antweb.org/images/casent0003239/casent0003239_p_1_high.jpg,casent0003239 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Strumigenys,1,data/images/Strumigenys/casent0003239_p.jpg,commons,train
865075432,CAS:ANTWEB:casent0003240,casent0003240,casent0003240,p,1320203,Strumigenys,myrmicinae,Strumigenys coveri,Strumigenys coveri Fisher,,SPECIES,,worker,Holotype,Antsiranana,"1 km W Andampibe, Cap Masoala",-15.69361,50.18139,125.0,1993-12-02,Alpert,,https://www.antweb.org/images/casent0003240/casent0003240_p_1_high.jpg,casent0003240 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Strumigenys,1,data/images/Strumigenys/casent0003240_p.jpg,commons,train
865075372,CAS:ANTWEB:casent0003241,casent0003241,casent0003241,p,1320203,Strumigenys,myrmicinae,Strumigenys gorgon,Strumigenys gorgon Fisher,,SPECIES,,worker,Holotype,Toamasina,"6.9 km NE Ambanizana, Ambohitsitondroina",-15.58506,50.00952,825.0,1993-12-02,Brian L. Fisher,,https://www.antweb.org/images/casent0003241/casent0003241_p_1_high.jpg,casent0003241 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Strumigenys,1,data/images/Strumigenys/casent0003241_p.jpg,commons,train
865075396,CAS:ANTWEB:casent0003242,casent0003242,casent0003242,p,1320203,Strumigenys,myrmicinae,Strumigenys rabesoni,Strumigenys rabesoni Fisher,,SPECIES,,worker,Holotype,Antsiranana,"9.2 km WSW Befingotra, Rés. Anjanaharibe-Sud",-14.75,49.46667,1200.0,1994-11-09,Brian L. Fisher,,https://www.antweb.org/images/casent0003242/casent0003242_p_1_high.jpg,casent0003242 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Strumigenys,1,data/images/Strumigenys/casent0003242_p.jpg,commons,train
865075423,CAS:ANTWEB:casent0003243,casent0003243,casent0003243,p,1320203,Strumigenys,myrmicinae,Strumigenys wardi,Strumigenys wardi Fisher,,SPECIES,,worker,,Toamasina,"33 km south of Moramanga, Rte. d'Anosibe",-19.25,48.21667,,1975-04-04/1975-04-12,A. Peyrieras,Brian L. Fisher,https://www.antweb.org/images/casent0003243/casent0003243_p_1_high.jpg,casent0003243 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Strumigenys,1,data/images/Strumigenys/casent0003243_p.jpg,commons,train
865075447,CAS:ANTWEB:casent0003245,casent0003245,casent0003245,p,1320203,Strumigenys,myrmicinae,Strumigenys manga,Strumigenys manga Fisher,,SPECIES,,worker,Holotype,Fianarantsoa,"29 km SSW Ambositra, Ankazomivady",-20.77667,47.165,1700.0,1998-01-08,H.G. Robertson,,https://www.antweb.org/images/casent0003245/casent0003245_p_1_high.jpg,casent0003245 profile view 1,April Nobile,Attribution-ShareAlike (BY-SA) Creative Commons License and GNU Free Documentation License (GFDL),"California Academy of Sciences, 2000-2007",GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Strumigenys,1,data/images/Strumigenys/casent0003245_p.jpg,commons,test
