specimen_code,image_url,status
antweb1008494,https://www.antweb.org/images/antweb1008494/antweb1008494_p_2_high.jpg,HTTP 403
antweb1008554,https://www.antweb.org/images/antweb1008554/antweb1008554_p_2_high.jpg,HTTP 403
antweb1008775,https://www.antweb.org/images/antweb1008775/antweb1008775_p_1_high.jpg,HTTP 403
blf00976(40)-2,https://www.antweb.org/images/blf00976(40)-2/blf00976(40)-2_p_1_high.jpg,HTTP 403
blf0561(26)-1,https://www.antweb.org/images/blf0561(26)-1/blf0561(26)-1_p_1_high.jpg,HTTP 403
blf1070(39)-01,https://www.antweb.org/images/blf1070(39)-01/blf1070(39)-01_p_1_high.jpg,HTTP 403
blf1070(40)-9,https://www.antweb.org/images/blf1070(40)-9/blf1070(40)-9_p_1_high.jpg,HTTP 403
blf1862(05)-16,https://www.antweb.org/images/blf1862(05)-16/blf1862(05)-16_p_1_high.jpg,HTTP 403
blf2072(29)-12,https://www.antweb.org/images/blf2072(29)-12/blf2072(29)-12_p_1_high.jpg,HTTP 403
blf2102(14)-8,https://www.antweb.org/images/blf2102(14)-8/blf2102(14)-8_p_1_high.jpg,HTTP 403
