specimen_code,genus,split,gbifID,eventDate,image_url,image_path,download_failed,error
antweb1008494,Adetomyrma,train,1213706981,2000-12-05/2000-12-13,https://www.antweb.org/images/antweb1008494/antweb1008494_p_10_high.jpg,data/images/Adetomyrma/antweb1008494_p.jpg,True,HTTP 404
antweb1008554,Mystrium,test,1213707095,1993-12-03,https://www.antweb.org/images/antweb1008554/antweb1008554_p_10_high.jpg,data/images/Mystrium/antweb1008554_p.jpg,True,HTTP 404
antweb1008775,Metapone,test,1213707264,2000-07-29,https://www.antweb.org/images/antweb1008775/antweb1008775_p_1_high.jpg,data/images/Metapone/antweb1008775_p.jpg,True,HTTP 404
blf00976(40)-2,Bothroponera,train,865072582,1993-12-02,https://www.antweb.org/images/blf00976(40)-2/blf00976(40)-2_p_1_high.jpg,data/images/Bothroponera/blf00976_40_-2_p.jpg,True,HTTP 404
blf0561(26)-1,Bothroponera,train,865072677,1992-11-30,https://www.antweb.org/images/blf0561(26)-1/blf0561(26)-1_p_1_high.jpg,data/images/Bothroponera/blf0561_26_-1_p.jpg,True,HTTP 404
blf1070(39)-01,Mystrium,train,865072908,1994-10-19,https://www.antweb.org/images/blf1070(39)-01/blf1070(39)-01_p_1_high.jpg,data/images/Mystrium/blf1070_39_-01_p.jpg,True,HTTP 404
blf1070(40)-9,Monomorium,test,865072957,1994-10-19,https://www.antweb.org/images/blf1070(40)-9/blf1070(40)-9_p_1_high.jpg,data/images/Monomorium/blf1070_40_-9_p.jpg,True,HTTP 404
blf1862(05)-16,Bothroponera,train,865073431,1998-10-11,https://www.antweb.org/images/blf1862(05)-16/blf1862(05)-16_p_1_high.jpg,data/images/Bothroponera/blf1862_05_-16_p.jpg,True,HTTP 404
blf2072(29)-12,Bothroponera,train,865073586,1998-11-22,https://www.antweb.org/images/blf2072(29)-12/blf2072(29)-12_p_1_high.jpg,data/images/Bothroponera/blf2072_29_-12_p.jpg,True,HTTP 404
blf2102(14)-8,Bothroponera,train,865073659,1998-12-09/1998-12-11,https://www.antweb.org/images/blf2102(14)-8/blf2102(14)-8_p_1_high.jpg,data/images/Bothroponera/blf2102_14_-8_p.jpg,True,HTTP 404
casent0000547,Tanipone,train,865074000,2001-11-16/2001-11-20,https://www.antweb.org/images/casent0000547/casent0000547_p_1_high.jpg,data/images/Tanipone/casent0000547_p.jpg,True,HTTP 404
casent0000550,Mystrium,train,865074036,2001-11-16/2001-11-20,https://www.antweb.org/images/casent0000550/casent0000550_p_1_high.jpg,data/images/Mystrium/casent0000550_p.jpg,True,HTTP 404
casent0000556,Simopone,train,865074003,2001-11-11/2001-11-15,https://www.antweb.org/images/casent0000556/casent0000556_p_1_high.jpg,data/images/Simopone/casent0000556_p.jpg,True,HTTP 404
casent0000562,Simopone,train,865074039,2001-11-11/2001-11-15,https://www.antweb.org/images/casent0000562/casent0000562_p_1_high.jpg,data/images/Simopone/casent0000562_p.jpg,True,HTTP 404
casent0000760,Mystrium,train,865074142,2001-11-16/2001-11-20,https://www.antweb.org/images/casent0000760/casent0000760_p_1_high.jpg,data/images/Mystrium/casent0000760_p.jpg,True,HTTP 404
