specimen_code,genus,commons_title,image_path,ok,error
casent0101740,Tetraponera,File:Tetraponera grandidieri casent0101740 profile 1.jpg,data/images/Tetraponera/casent0101740_p.jpg,True,
casent0101762,Crematogaster,File:Crematogaster ranavalonae casent0101762 profile 1.jpg,data/images/Crematogaster/casent0101762_p.jpg,True,
casent0101769,Crematogaster,File:Crematogaster adrepens casent0101769 profile 1.jpg,data/images/Crematogaster/casent0101769_p.jpg,True,
casent0101805,Leptogenys,File:Leptogenys saussurei casent0101805 profile 1.jpg,data/images/Leptogenys/casent0101805_p.jpg,True,
casent0101821,Tetramorium,File:Tetramorium andrei casent0101821 profile 1.jpg,data/images/Tetramorium/casent0101821_p.jpg,True,
casent0101824,Crematogaster,File:Crematogaster ranavalonae paulinae casent0101824 profile 1.jpg,data/images/Crematogaster/casent0101824_p.jpg,True,
casent0101829,Pheidole,File:Pheidole annemariae casent0101829 profile 1.jpg,data/images/Pheidole/casent0101829_p.jpg,True,
casent0101833,Nylanderia,File:Paratrechina madagascarensis rufescens casent0101833 profile 1.jpg,data/images/Nylanderia/casent0101833_p.jpg,True,
casent0101859,Cardiocondyla,File:Cardiocondyla shuckardi casent0101859 profile 1.jpg,data/images/Cardiocondyla/casent0101859_p.jpg,True,
casent0101947,Leptogenys,File:Leptogenys voeltzkowi casent0101947 profile 1.jpg,data/images/Leptogenys/casent0101947_p.jpg,True,
casent0102005,Platythyrea,File:Platythyrea bicuspis casent0102005 profile 1.jpg,data/images/Platythyrea/casent0102005_p.jpg,True,
casent0102006,Platythyrea,File:Platythyrea bicuspis casent0102006 profile 1.jpg,data/images/Platythyrea/casent0102006_p.jpg,True,
casent0102009,Platythyrea,File:Platythyrea mocquerysi casent0102009 profile 1.jpg,data/images/Platythyrea/casent0102009_p.jpg,True,
