specimen_code,genus,species,subfamily,split,image_path
casent0000550,Mystrium,Mystrium mysticum,amblyoponinae,train,data/images/Mystrium/casent0000550_p.jpg
casent0000760,Mystrium,Mystrium mysticum,amblyoponinae,train,data/images/Mystrium/casent0000760_p.jpg
casent0001385,Aphaenogaster,Aphaenogaster swammerdami,myrmicinae,train,data/images/Aphaenogaster/casent0001385_p.jpg
casent0002102,Mystrium,Mystrium voeltzkowi,amblyoponinae,train,data/images/Mystrium/casent0002102_p.jpg
casent0002219,Royidris,Royidris notorthotenes,myrmicinae,test,data/images/Royidris/casent0002219_p.jpg
casent0002244,Royidris,Royidris notorthotenes,myrmicinae,train,data/images/Royidris/casent0002244_p.jpg
casent0002257,Royidris,Royidris notorthotenes,myrmicinae,train,data/images/Royidris/casent0002257_p.jpg
casent0002259,Royidris,Royidris notorthotenes,myrmicinae,train,data/images/Royidris/casent0002259_p.jpg
casent0002552,Terataner,Terataner xaltus,myrmicinae,test,data/images/Terataner/casent0002552_p.jpg
casent0003120,Nesomyrmex,Nesomyrmex sikorai,myrmicinae,test,data/images/Nesomyrmex/casent0003120_p.jpg
casent0003175,Technomyrmex,Technomyrmex difficilis,dolichoderinae,train,data/images/Technomyrmex/casent0003175_p.jpg
casent0003239,Strumigenys,Strumigenys alperti,myrmicinae,train,data/images/Strumigenys/casent0003239_p.jpg
casent0003240,Strumigenys,Strumigenys coveri,myrmicinae,train,data/images/Strumigenys/casent0003240_p.jpg
casent0003241,Strumigenys,Strumigenys gorgon,myrmicinae,train,data/images/Strumigenys/casent0003241_p.jpg
casent0003242,Strumigenys,Strumigenys rabesoni,myrmicinae,train,data/images/Strumigenys/casent0003242_p.jpg
casent0003243,Strumigenys,Strumigenys wardi,myrmicinae,train,data/images/Strumigenys/casent0003243_p.jpg
casent0003245,Strumigenys,Strumigenys manga,myrmicinae,test,data/images/Strumigenys/casent0003245_p.jpg
casent0003246,Strumigenys,Strumigenys adsita,myrmicinae,train,data/images/Strumigenys/casent0003246_p.jpg
