genusKey,genus,subfamily,n_records
1326614,Hypoponera,ponerinae,899
1312361,Camponotus,formicinae,792
1321654,Pheidole,myrmicinae,789
1323128,Tetramorium,myrmicinae,495
1320203,Strumigenys,myrmicinae,375
1324306,Crematogaster,myrmicinae,280
1326355,Mystrium,amblyoponinae,176
1320039,Technomyrmex,dolichoderinae,154
1321215,Leptogenys,ponerinae,151
1317472,Carebara,myrmicinae,137
7731605,Nesomyrmex,myrmicinae,122
1314419,Monomorium,myrmicinae,101
1319181,Tetraponera,pseudomyrmecinae,91
4673663,Bothroponera,ponerinae,87
1325864,Adetomyrma,amblyoponinae,86
1319685,Pachycondyla,ponerinae,74
7600784,Vitsika,myrmicinae,68
1319461,Anochetus,ponerinae,59
1316784,Tapinoma,dolichoderinae,58
4673740,Nylanderia,formicinae,57
1315863,Aphaenogaster,myrmicinae,51
3258370,Stigmatomma,amblyoponinae,50
1325265,Cataulacus,myrmicinae,47
1317009,Prionopelta,amblyoponinae,42
7748512,Royidris,myrmicinae,41
7557550,Malagidris,myrmicinae,40
4681352,Syllophopsis,myrmicinae,37
1323091,Simopone,dorylinae,36
1326298,Platythyrea,ponerinae,36
1317363,Terataner,myrmicinae,33
9498732,Tanipone,dorylinae,33
1317162,Odontomachus,ponerinae,32
8301906,Meranoplus,myrmicinae,32
1320543,Proceratium,proceratiinae,30
1325421,Paratrechina,formicinae,25
1317100,Cardiocondyla,myrmicinae,21
1318666,Eutetramorium,myrmicinae,21
1326945,Metapone,myrmicinae,21
1323617,Oligomyrmex,myrmicinae,20
4673512,Lioponera,dorylinae,19
4673426,Aptinoma,dolichoderinae,15
1320011,Probolomyrmex,proceratiinae,14
1321015,Pyramica,myrmicinae,13
4673430,Ravavy,dolichoderinae,13
1320758,Plagiolepis,formicinae,12
1327440,Pilotrochus,myrmicinae,10
1316287,Melissotarsus,myrmicinae,9
4679903,Parasyscia,dorylinae,8
9107211,Solenopsis,myrmicinae,8
4672464,Trichomyrmex,myrmicinae,7
10099461,Erromyrma,myrmicinae,6
1317227,Ponera,ponerinae,6
1317285,Brachymyrmex,formicinae,4
1320868,Lepisiota,formicinae,4
9265294,Lividopone,dorylinae,4
4671560,Paraparatrechina,formicinae,3
1315321,Discothyrea,proceratiinae,1
1323767,Leptothorax,myrmicinae,1
1326115,Cerapachys,dorylinae,1
4670076,Ooceraea,dorylinae,1
