genus,subfamily,n_specimens,n_species,n_unidentified,n_provinces,provinces,n_with_coords,elev_min,elev_median,elev_max,year_min,year_max,n_without_date
Hypoponera,ponerinae,882,8,856,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,882,10,925,2000,1893,2021,17
Pheidole,myrmicinae,685,125,60,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,680,5,900,2100,1889,2026,88
Camponotus,formicinae,585,105,5,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,584,2,725,2150,1889,2026,225
Tetramorium,myrmicinae,373,102,40,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,370,1,775,2000,1893,2026,63
Strumigenys,myrmicinae,330,84,15,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,330,1,825,2060,1899,2012,2
Crematogaster,myrmicinae,199,37,2,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,194,2,410,2150,1893,2012,81
Carebara,myrmicinae,140,22,0,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,140,10,825,1984,1993,2010,4
Leptogenys,ponerinae,138,46,21,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,138,2,520,1565,1893,2013,36
Mystrium,amblyoponinae,106,10,0,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,106,2,210,1399,1896,2018,20
Nesomyrmex,myrmicinae,86,31,1,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,86,10,200,2000,1996,2018,5
Tetraponera,pseudomyrmecinae,62,18,5,5,Antananarivo;Antsiranana;Fianarantsoa;Toamasina;Toliara,60,5,400,1409,1893,2012,35
Monomorium,myrmicinae,52,21,0,6,Antananarivo;Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,52,10,325,1860,1994,2009,7
Technomyrmex,dolichoderinae,50,11,0,5,Antsiranana;Fianarantsoa;Mahajanga;Toamasina;Toliara,50,10,180,2100,1990,2013,15
