specimen_code,x,y
casent0000550,0.1780,-4.7097
casent0000760,0.2276,-4.7150
casent0001385,3.4400,9.0338
casent0002102,0.1670,-4.7100
casent0002219,7.9900,4.2565
casent0002244,8.4876,-0.3555
casent0002257,8.0270,4.3405
casent0002259,7.9732,4.2895
casent0002552,8.7382,1.0354
casent0003120,8.5972,2.1021
casent0003175,2.7585,5.8114
casent0003239,13.6800,12.9763
casent0003240,13.6732,12.9785
casent0003241,13.7054,13.0308
casent0003242,13.7364,13.0506
casent0003243,13.6512,12.4518
casent0003245,13.6929,12.4597
casent0003246,14.0381,12.3030
casent0003280,0.1675,-4.8102
casent0003307,0.2029,-4.7701
casent0003308,0.2792,-4.8755
casent0003309,0.2180,-4.7637
casent0003310,0.2854,-4.9743
casent0003327,7.4411,4.9695
casent0003806,0.2074,-4.8276
casent0003814,-0.8845,1.3638
casent0003992,7.7039,4.6727
casent0004369,13.7055,12.9577
casent0004370,12.2012,10.6525
casent0005445,13.0462,12.1436
casent0005446,12.8055,12.1144
casent0005447,12.8169,12.1640
casent0005448,13.3825,10.9711
casent0005449,13.4092,11.0591
casent0005450,13.3998,11.0339
casent0005451,11.4478,10.6031
casent0005453,11.0512,10.4412
casent0005454,11.0633,10.4886
casent0005455,11.2707,10.6567
casent0005456,11.9726,10.6807
casent0005457,11.1120,10.5525
casent0005458,11.0792,10.5080
casent0005459,11.0780,10.5350
casent0005461,13.4988,11.6143
casent0005462,12.8880,12.1310
casent0005463,12.7898,12.1529
casent0005464,12.8040,12.1350
casent0005465,12.7087,11.3657
casent0005466,12.9252,10.9191
casent0005467,12.4928,10.5553
casent0005468,12.6578,10.4950
casent0005469,12.8833,10.7082
casent0005470,12.7396,10.7685
casent0005472,13.9963,12.2875
casent0005473,13.9595,12.2692
casent0005474,13.9903,12.2945
casent0005478,3.4760,10.5428
casent0005479,3.4659,10.5415
casent0005481,3.4354,10.6001
casent0005483,13.8242,12.1851
casent0005484,12.3988,10.0117
casent0005485,12.3555,10.0040
casent0005486,12.2941,9.8400
casent0005487,11.9576,9.5333
casent0005488,11.9681,9.5572
casent0005489,11.9689,9.5886
casent0005490,12.0467,9.7907
casent0005492,13.7718,12.1844
casent0005493,11.9741,9.5412
casent0005495,11.9757,9.5740
casent0005496,11.9954,9.5521
casent0005497,12.0457,10.0634
casent0005498,12.0126,9.8452
casent0005499,12.1946,10.6682
casent0005500,13.7735,13.1205
casent0005501,12.0242,9.8608
casent0005502,13.8372,13.1860
casent0005503,13.7476,13.1077
casent0005504,13.7693,13.1276
casent0005506,13.8889,12.1439
casent0005507,13.7388,12.1186
casent0005508,11.9875,9.6558
casent0005509,12.1594,9.8455
casent0005510,12.4226,11.0604
casent0005511,12.6681,11.3831
casent0005512,12.2003,10.8916
casent0005513,12.8815,10.5688
casent0005514,12.8563,10.4938
casent0005515,12.6124,11.0641
casent0005516,12.4675,10.6673
