specimen_code,genus_true,genus_pred,prob,second_guess,second_prob,image_path,image_source
casent0101118,Camponotus,Aphaenogaster,0.997,Odontomachus,0.003,data/images/Camponotus/casent0101118_p.jpg,commons
casent0128362,Royidris,Monomorium,0.993,Royidris,0.005,data/images/Royidris/casent0128362_p.jpg,gbif_cache
casent0101119,Camponotus,Aphaenogaster,0.986,Odontomachus,0.012,data/images/Camponotus/casent0101119_p.jpg,commons
casent0048930,Pachycondyla,Bothroponera,0.959,Pachycondyla,0.039,data/images/Pachycondyla/casent0048930_p.jpg,commons
casent0010867,Syllophopsis,Tetramorium,0.954,Nesomyrmex,0.013,data/images/Syllophopsis/casent0010867_p.jpg,commons
casent0101139,Tetramorium,Strumigenys,0.88,Tetramorium,0.064,data/images/Tetramorium/casent0101139_p.jpg,commons
casent0101616,Nesomyrmex,Crematogaster,0.857,Tetramorium,0.067,data/images/Nesomyrmex/casent0101616_p.jpg,commons
casent0102035,Tetraponera,Crematogaster,0.842,Tetraponera,0.144,data/images/Tetraponera/casent0102035_p.jpg,commons
casent0102418,Camponotus,Anochetus,0.798,Camponotus,0.148,data/images/Camponotus/casent0102418_p.jpg,commons
casent0101943,Pheidole,Odontomachus,0.721,Aphaenogaster,0.234,data/images/Pheidole/casent0101943_p.jpg,commons
casent0101583,Cataulacus,Terataner,0.709,Cataulacus,0.28,data/images/Cataulacus/casent0101583_p.jpg,commons
casent0173591,Syllophopsis,Tetramorium,0.672,Terataner,0.128,data/images/Syllophopsis/casent0173591_p.jpg,commons
casent0101053,Aphaenogaster,Pheidole,0.633,Royidris,0.125,data/images/Aphaenogaster/casent0101053_p.jpg,commons
casent0443365,Technomyrmex,Tapinoma,0.569,Technomyrmex,0.431,data/images/Technomyrmex/casent0443365_p.jpg,commons
casent0102037,Tetraponera,Lioponera,0.533,Tetraponera,0.438,data/images/Tetraponera/casent0102037_p.jpg,commons
casent0317759,Crematogaster,Syllophopsis,0.53,Royidris,0.346,data/images/Crematogaster/casent0317759_p.jpg,gbif_cache
casent0467063,Tetramorium,Syllophopsis,0.499,Tetramorium,0.351,data/images/Tetramorium/casent0467063_p.jpg,commons
casent0101146,Tetramorium,Crematogaster,0.222,Cardiocondyla,0.213,data/images/Tetramorium/casent0101146_p.jpg,commons
