genus,subfamily,n_test,recall_zero_shot_template,f1_zero_shot_template,recall_zero_shot_plain,f1_zero_shot_plain,recall_linear_probe,f1_linear_probe,recall_nearest_neighbour,f1_nearest_neighbour
Anochetus,ponerinae,6,0.333,0.5,0.0,0.0,1.0,0.923,0.833,0.909
Aphaenogaster,myrmicinae,5,0.2,0.222,1.0,0.115,0.8,0.727,1.0,0.833
Bothroponera,ponerinae,5,0.4,0.444,0.4,0.5,1.0,0.909,1.0,0.833
Camponotus,formicinae,48,0.896,0.945,0.938,0.849,0.938,0.968,0.979,0.989
Cardiocondyla,myrmicinae,3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Cataulacus,myrmicinae,6,1.0,0.857,0.0,0.0,0.833,0.909,1.0,0.923
Crematogaster,myrmicinae,16,0.75,0.828,0.875,0.269,0.938,0.882,0.812,0.839
Hypoponera,ponerinae,5,0.2,0.333,0.0,0.0,1.0,1.0,1.0,0.909
Leptogenys,ponerinae,8,0.125,0.2,0.0,0.0,1.0,1.0,1.0,1.0
Lioponera,dorylinae,3,0.333,0.4,0.0,0.0,1.0,0.857,1.0,1.0
Meranoplus,myrmicinae,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.857
Monomorium,myrmicinae,7,0.857,0.571,0.143,0.25,1.0,0.933,1.0,0.875
Mystrium,amblyoponinae,9,1.0,1.0,0.0,0.0,1.0,1.0,0.889,0.941
Nesomyrmex,myrmicinae,3,0.333,0.154,0.0,0.0,0.667,0.8,0.333,0.5
Nylanderia,formicinae,4,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Odontomachus,ponerinae,3,1.0,0.286,0.0,0.0,1.0,0.857,1.0,1.0
Pachycondyla,ponerinae,3,0.333,0.143,0.0,0.0,0.667,0.8,0.0,0.0
Pheidole,myrmicinae,16,0.812,0.897,0.375,0.545,0.938,0.938,0.875,0.933
Platythyrea,ponerinae,4,1.0,0.8,0.0,0.0,1.0,1.0,1.0,1.0
Royidris,myrmicinae,2,0.5,0.333,0.0,0.0,0.5,0.667,0.5,0.5
Strumigenys,myrmicinae,45,0.978,0.978,0.0,0.0,1.0,0.989,1.0,0.989
Syllophopsis,myrmicinae,3,0.333,0.286,0.0,0.0,0.333,0.333,0.333,0.5
Tapinoma,dolichoderinae,3,1.0,0.667,0.0,0.0,1.0,0.857,0.667,0.571
Technomyrmex,dolichoderinae,7,0.571,0.727,0.0,0.0,0.857,0.923,0.714,0.769
Terataner,myrmicinae,3,0.667,0.8,0.0,0.0,1.0,0.857,1.0,1.0
Tetramorium,myrmicinae,21,0.524,0.688,0.429,0.545,0.857,0.878,0.905,0.844
Tetraponera,pseudomyrmecinae,9,0.778,0.875,0.0,0.0,0.778,0.875,1.0,1.0
